Nom,URL,Localisation ,Nature,Expertise numérique 1,Expertise numérique 2,Expertise numérique 3
SWISSARTBOOKS,https://www.swissartbooks.org/blog/,Lausanne,Indépendant ,Reproduction numérique,Technologie XR,Production audiovisuelle
,,,,,,
,,,,"Animation (2D, 3D)",,
,,,,Applications mobiles,,
,,,,Capteurs,,
,,,,Commerce électronique,,
,,,,Communication numérique,,
,,,,Conseil et accompagnement en transformation numérique,,
,,,,Création de sites web et logiciels,,
,,,,Distribution numérique,,
,,,,Documentation technique et virtualisation,,
,,,,Édition numérique,,
,,,,Impression et modélisation 3D,,
,,,,Ingénieurie culturelle,,
,,,,"Innovation, cocréation, codesign",,
,,,,Intelligence artificielle,,
,,,,Interactive design/ design numérique,,
,,,,Jeux vidéos et gamification,,
,,,,Logiciels de gestion,,
,,,,Marketing,,
,,,,Outils et plateformes collaboratives,,
,,,,Production audiovisuelle,,
,,,,Reproduction numérique,,
,,,,Systèmes d'information,,
,,,,Technologie XR,,
,,,,Traitement et analyse de données,,
,,,,Médiation numérique,,
